Year	0_temp	1_temp	2_temp	3_temp	4_temp
2146	1.07261218428	1.48169796456	2.02005067616	1.28273721863	1.70505621476
2147	1.07238892851	1.4813376476	2.02056512136	1.282319637	1.70495189878
2148	1.07216896206	1.48098381747	2.02108587503	1.2819075557	1.70485435342
2149	1.0719521693	1.48063625429	2.02161266294	1.28150079344	1.70476332971
2150	1.07173843671	1.48029474049	2.02214521175	1.28109917145	1.70467858052
2151	1.07152766041	1.47995907421	2.02268326786	1.28070252426	1.7045998765
2152	1.07131974431	1.47962906609	2.02322659302	1.28031069709	1.70452700232
2153	1.07111459822	1.47930453616	2.0237749602	1.27992354328	1.70445975305
2154	1.07091213656	1.47898531164	2.0243281505	1.27954092241	1.70439793156
2155	1.07071227509	1.47867122142	2.02488594561	1.27916269589	1.70434134208
2156	1.07051493592	1.47836210477	2.02544814009	1.27878873391	1.70428980053
2157	1.07032004755	1.4780578117	2.0260145419	1.27841891572	1.70424313494
2158	1.0701275393	1.47775819311	2.02658495879	1.27805312163	1.70420117387
2159	1.06993734221	1.47746310259	2.0271592009	1.27769123445	1.70416374861
2160	1.06974938449	1.47717238846	2.02773706967	1.27733313293	1.70413068373
2161	1.06956359447	1.47688589895	2.0283183652	1.27697869605	1.70410180328
2162	1.06937990819	1.47660349572	2.02890290512	1.27662781387	1.70407694675
2163	1.06919826763	1.47632505068	2.02949052034	1.276280385	1.70405596539
2164	1.06901861897	1.47605044301	2.03008105087	1.27593631414	1.70403871869
2165	1.06884091126	1.475779557	2.03067434288	1.27559551025	1.70402507183
2166	1.06866509335	1.47551227657	2.0312702412	1.27525788221	1.70401488929
2167	1.06849111889	1.47524849414	2.03186860159	1.27492334587	1.70400804527
2168	1.06831894646	1.47498811094	2.03246929141	1.27459182436	1.70400442415
2169	1.06814853407	1.47473102732	2.03307217601	1.2742632402	1.70400390902
2170	1.06797984013	1.47447714458	2.03367712142	1.27393751674	1.70400638385
2171	1.06781281897	1.47422635703	2.03428398325	1.27361457177	1.70401172419
2172	1.06764742377	1.47397855732	2.03489261415	1.27329432174	1.70401980337
